Group Ind PopID P1 P2 P3 P4 P5 P6 P7
Nevadensis_TroyPeak Nv131 NEV 0 0.188 0.1171 0.02 0.0003 0.0016 0.6731
Nevadensis_TroyPeak Nv134 NEV 0 0.2057 0.1026 0.0206 0 0.0006 0.6705
Nevadensis_TroyPeak Nv136 NEV 0 0.1971 0.1105 0.02 0 0.0006 0.6718
Parryi_Lamoille Pa140 PAR 0.92 0 0.02 0.02 0.04 0 0
Parryi_Lamoille Pa141 PAR 0.92 0 0.02 0.0201 0.0399 0 0
Parryi_Lamoille Pa143 PAR 0.92 0 0.02 0.02 0.04 0 0
Parryi_Lamoille Pa145 PAR 0.9201 0 0.0198 0.0203 0.0393 0 0.0005
Parryi_Lamoille Pa147 PAR 0.92 0 0.02 0.02 0.04 0 0
Parryi_ThomasCreek Pa154 PAR 0.92 0 0.02 0.0201 0.0399 0 0
Parryi_ThomasCreek Pa158 PAR 0.92 0 0.02 0.02 0.0399 0 0
